cell_id,condition,opponent,seed,provider,cooperation_rate,action_volatility,half_life,curvature_beta2,cross_lag_peak,coop_recovery_delay,cost_usd,status
Full-Gamma_TFT_s99_anthropic,Full-Gamma,TFT,99,anthropic,0.8,16,,2.641499167427906,0,8,0.111404,ok
Full-Gamma_TFT_s17_deepseek,Full-Gamma,TFT,17,deepseek,0.84,12,,-0.13695186089767195,0,,0.008618120000000003,ok
Full-Gamma_TFT_s99_deepseek,Full-Gamma,TFT,99,deepseek,0.9,8,,-1.839576566284195,0,14,0.008359120000000003,ok
Full-Gamma_TFT_s7_deepseek,Full-Gamma,TFT,7,deepseek,0.78,18,,2.322892721532929,0,7,0.008861440000000005,degraded
Full-Gamma_TFT_s256_anthropic,Full-Gamma,TFT,256,anthropic,0.96,4,,0.01615476061669035,0,2,0.080334,ok
Full-Gamma_TFT_s511_anthropic,Full-Gamma,TFT,511,anthropic,0.92,7,,0.10384148090698954,0,2,0.080369,ok
Full-Gamma_TFT_s1024_anthropic,Full-Gamma,TFT,1024,anthropic,0.78,16,,2.0245071834411124,0,1,0.11698900000000004,ok
Full-Gamma_TFT_s511_deepseek,Full-Gamma,TFT,511,deepseek,0.86,13,,1.6716381744561326,0,,0.00835072,degraded
Full-Gamma_TFT_s2048_anthropic,Full-Gamma,TFT,2048,anthropic,0.96,4,,0.22161586965432956,0,,0.08115900000000001,ok
Full-Gamma_TFT_s1024_deepseek,Full-Gamma,TFT,1024,deepseek,0.8,15,,-3.686624539147217,0,2,0.008761479999999999,ok
Full-Gamma_TFT_s511_openai,Full-Gamma,TFT,511,openai,0.84,11,,1.2955625094922965,0,7,0.030646599999999996,ok
Full-Gamma_TFT_s4096_anthropic,Full-Gamma,TFT,4096,anthropic,0.72,20,,-1.688581234599235,0,,0.10620399999999999,ok
Full-Gamma_TFT_s4096_deepseek,Full-Gamma,TFT,4096,deepseek,0.94,5,,1.302948680380696,0,,0.008230320000000003,degraded
Full-Gamma_TFT_s8192_anthropic,Full-Gamma,TFT,8192,anthropic,0.94,6,,-0.8058151062494461,0,,0.07802399999999998,ok
Full-Gamma_TFT_s1024_openai,Full-Gamma,TFT,1024,openai,0.62,13,,0.3892307999878963,0,,0.0374658,ok
Full-Gamma_TFT_s2048_openai,Full-Gamma,TFT,2048,openai,0.88,12,,0.9763011333070795,0,7,0.029477000000000003,ok
Full-Gamma_TFT_s2048_deepseek,Full-Gamma,TFT,2048,deepseek,0.82,15,,1.4039200493649706,0,7,0.008550919999999998,ok
Full-Gamma_Grim_s7_anthropic,Full-Gamma,Grim,7,anthropic,0.56,26,,-0.10679583546698809,0,5,0.11838900000000005,ok
Full-Gamma_TFT_s4096_openai,Full-Gamma,TFT,4096,openai,0.72,12,,-0.06752125236113406,0,,0.030870200000000014,ok
Full-Gamma_TFT_s8192_deepseek,Full-Gamma,TFT,8192,deepseek,0.78,14,,0.9264636610957994,0,,0.00879312,degraded
Full-Gamma_Grim_s17_anthropic,Full-Gamma,Grim,17,anthropic,0.44,19,,8.470392428669701,0,11,0.126644,ok
Full-Gamma_Grim_s99_anthropic,Full-Gamma,Grim,99,anthropic,0.48,21,,-0.4333397334930443,0,12,0.12805399999999997,ok
Full-Gamma_Grim_s99_deepseek,Full-Gamma,Grim,99,deepseek,0.38,25,,2.2316666374655827,0,6,0.008701840000000002,degraded
Full-Gamma_TFT_s8192_openai,Full-Gamma,TFT,8192,openai,0.62,17,,-2.6610419441337054,0,,0.031360599999999995,ok
Full-Gamma_Grim_s123_anthropic,Full-Gamma,Grim,123,anthropic,0.64,17,,-0.8047934943331109,0,,0.11270399999999998,ok
Full-Gamma_Grim_s7_deepseek,Full-Gamma,Grim,7,deepseek,0.58,26,,-1.376246795931401,0,6,0.009124360000000003,degraded
Full-Gamma_Grim_s7_openai,Full-Gamma,Grim,7,openai,0.5,17,,1.8744356374000168,0,,0.035636600000000004,ok
Full-Gamma_Grim_s17_openai,Full-Gamma,Grim,17,openai,0.42,17,,2.696255455534444,0,,0.03152100000000001,ok
Full-Gamma_Grim_s123_openai,Full-Gamma,Grim,123,openai,0.28,15,,-1.9268970237141088,0,9,0.032984599999999996,ok
Full-Gamma_Grim_s256_anthropic,Full-Gamma,Grim,256,anthropic,0.58,24,,-0.41268016919041,0,11,0.11968400000000001,ok
Full-Gamma_Grim_s17_deepseek,Full-Gamma,Grim,17,deepseek,0.38,24,,4.673798836502118,0,,0.008902460000000003,degraded
Full-Gamma_Grim_s123_deepseek,Full-Gamma,Grim,123,deepseek,0.44,23,,5.195673689921645,0,,0.009108680000000003,degraded
Full-Gamma_Grim_s511_anthropic,Full-Gamma,Grim,511,anthropic,0.44,27,,7.339467745335932,0,6,0.127139,ok
